Date,Team,Agent,Calls_Handled,SLA_Percentage,AHT_Seconds,CSAT,Escalated_Cases,Resolution_Rate
2025-10-03,Team A,Grace,87,94.36,313,4.73,3,94.12
2025-01-08,Team B,John,94,90.84,344,4.64,2,93.56
2025-05-25,Team B,Lisa,90,94.52,329,4.32,6,96.68
2025-03-04,Team A,John,68,96.02,307,4.5,3,98.87
2025-04-12,Team C,Emma,96,91.83,246,4.13,2,98.34
2025-11-12,Team A,John,115,91.08,253,4.89,2,98.02
2025-10-09,Team D,Amy,86,89.46,312,3.91,3,98.64
2025-04-17,Team C,Amy,86,95.28,334,4.43,0,95.87
2025-10-04,Team A,Aaron,84,90.15,276,4.1,2,97.84
2025-05-26,Team B,Michael,61,89.82,323,4.5,1,96.79
2025-08-29,Team B,Rachel,82,95.39,343,3.72,0,100
2025-01-26,Team A,Chris,91,88.79,407,4.03,3,94.61
2025-07-21,Team A,Grace,76,94.3,262,4.32,2,93.38
2025-10-20,Team C,Alex,87,95.89,430,4.23,3,93.26
2025-03-26,Team B,Alex,56,87.08,372,4.24,4,98.26
2025-03-14,Team D,John,110,91.05,258,4.41,0,94.46
2025-01-05,Team D,Lisa,89,95.5,220,4.51,4,95.48
2025-09-21,Team B,Sophia,110,96.93,354,4.3,2,93.62
2025-05-16,Team D,Alex,68,92.05,380,4.44,2,94.95
2025-09-29,Team D,Emma,90,92.13,299,4.05,1,92.92
2025-11-27,Team C,Nicole,87,92.71,338,4.82,2,97.77
2025-10-18,Team B,Rachel,50,93.8,336,4.2,0,97.98
2025-06-12,Team B,Mary,95,93.36,283,5,2,96.57
2025-01-25,Team A,Mary,83,94.52,322,3.86,2,94.71
2025-06-09,Team A,Daniel,107,96.66,309,4.85,0,94.87
2025-11-25,Team D,Olivia,78,93.91,288,4.4,4,94.54
2025-05-04,Team B,Jason,98,95.02,405,4.08,2,95.19
2025-05-13,Team B,Mary,67,92.3,267,4.52,1,98.74
2025-03-06,Team A,Grace,67,94.54,250,4.17,2,95.22
2025-03-23,Team D,Alex,93,88.88,239,4.84,5,95.58
2025-01-29,Team A,Rachel,83,93.46,349,4.55,2,96.73
2025-12-09,Team D,Ryan,81,94.38,286,5,0,96.27
2025-03-28,Team C,John,72,96.9,270,4,2,98.37
2025-11-16,Team B,Emma,95,93.09,277,4.45,3,96.49
2025-10-19,Team B,Sarah,94,96.67,290,4.41,4,99.06
2025-10-15,Team D,Mary,92,91.91,278,4.09,3,92.07
2025-08-01,Team D,Aaron,89,95.45,363,4.23,4,98.43
2025-12-26,Team B,Jason,82,96.37,280,4.49,1,92.57
2025-08-01,Team C,Nicole,77,94.76,381,4.41,3,97.13
2025-01-30,Team C,Sophia,58,96.87,353,4.36,0,93.55
2025-05-09,Team D,David,79,94.83,332,4.34,3,99.09
2025-04-22,Team A,Kevin,99,92.6,320,4.16,2,97.3
2025-08-31,Team C,Emma,72,86.72,349,4.5,2,92.95
2025-02-26,Team A,Nicole,103,95.94,307,4.94,0,96.16
2025-07-05,Team C,Nicole,115,96.63,371,4.58,2,98.23
2025-04-27,Team C,Sarah,75,84.68,360,4.27,1,94.23
2025-04-26,Team A,Chris,69,98.56,381,4.57,0,98.29
2025-03-16,Team C,Kevin,80,94.07,322,4.55,5,94.29
2025-02-04,Team B,Aaron,74,86.33,184,4.16,3,95.45
2025-03-25,Team D,Sarah,70,90.14,272,4.08,2,92.13
2025-08-16,Team D,Daniel,86,89.61,231,4.09,1,96.49
2025-05-23,Team D,Jason,86,96.48,301,4.56,2,98.51
2025-03-28,Team B,David,65,100,323,4.5,1,95.15
2025-11-23,Team B,John,76,89.95,323,4.53,0,97.39
2025-03-27,Team A,Michael,64,94.65,308,4.75,1,95.6
2025-05-24,Team D,Aaron,82,94.86,422,4.41,2,94.54
2025-11-15,Team A,Jason,86,96.2,359,4.64,0,96.72
2025-04-26,Team D,Olivia,72,92.12,241,4.66,2,95.84
2025-10-06,Team A,Grace,83,90.37,293,4.25,0,98.54
2025-03-26,Team D,Kevin,74,95.3,310,4.03,5,96.24
2025-02-09,Team B,John,78,93.27,387,4.16,5,94.28
2025-05-09,Team C,Ryan,102,89.81,341,4.34,1,97.97
2025-01-25,Team C,John,77,89.23,344,4.33,0,96.55
2025-08-01,Team D,Mary,95,93.4,325,3.91,0,96.32
2025-08-06,Team B,John,76,91.77,286,3.79,3,95.79
2025-09-28,Team C,Alex,103,92.05,286,4.54,1,93.99
2025-05-08,Team C,Alex,86,98.82,269,4.2,0,98.06
2025-05-22,Team D,Sophia,65,95.05,290,4.66,0,96.69
2025-04-01,Team B,Olivia,101,92.64,211,4.65,1,94.93
2025-12-10,Team B,Emma,83,95.13,298,4.55,2,95.48
2025-11-23,Team B,Kevin,98,91.42,352,4.28,0,96.73
2025-10-13,Team A,John,112,87.34,305,3.92,2,97.56
2025-03-09,Team D,Lisa,79,95.38,347,5,2,97.7
2025-09-12,Team A,David,74,90.58,284,4.92,1,95.83
2025-02-04,Team A,Mary,87,96,184,4.6,2,97.77
2025-04-03,Team B,Lisa,88,92.77,351,4.57,1,98.4
2025-09-17,Team B,Sophia,117,92.47,326,4.57,3,94.52
2025-09-25,Team B,Lisa,65,92.44,240,3.98,2,90.81
2025-12-06,Team D,Michael,81,93.02,374,4.23,2,95.68
2025-02-06,Team A,Kevin,95,93.4,386,4.46,0,97.98
2025-07-11,Team C,Olivia,74,88.46,229,3.92,3,95.03
2025-08-03,Team A,Chris,87,91.87,348,4.72,1,97.18
2025-08-27,Team D,Lisa,83,93.23,308,4.2,4,96.41
2025-01-28,Team C,Nicole,96,96.99,358,4.78,4,96.23
2025-11-07,Team A,Chris,55,95.2,362,4.79,4,98
2025-07-07,Team D,Mary,74,90.21,212,4.85,0,96.91
2025-03-16,Team D,Sarah,93,85.82,256,4.41,1,96.46
2025-05-06,Team C,Michael,53,96.67,325,4.85,0,100
2025-04-23,Team A,Grace,77,92.96,347,4.4,1,95.82
2025-08-22,Team C,Grace,79,90.49,297,4.07,2,95.93
2025-02-04,Team C,Emma,102,94.11,314,4.53,1,93.61
2025-11-01,Team A,Mary,87,91.45,286,4.27,2,98.04
2025-12-07,Team B,Sophia,94,91.47,257,4.45,2,94.96
2025-09-30,Team C,Grace,93,96.3,417,4.03,1,96.99
2025-05-25,Team A,Sarah,109,97.69,290,3.77,0,96.65
2025-01-05,Team A,Nicole,109,91.43,318,4.13,2,96.06
2025-08-16,Team B,Daniel,94,90.82,332,3.67,4,97.04
2025-09-17,Team C,Ryan,94,93.49,319,3.98,1,97.93
2025-11-19,Team C,David,119,93.58,417,4.33,2,94.06
2025-07-13,Team A,Alex,64,95.86,345,4.62,1,97.03
2025-08-20,Team D,David,92,94.46,337,4.6,0,99.08
2025-09-17,Team B,Emma,74,94.41,227,4.73,1,99.76
2025-03-24,Team C,Emma,78,92.34,392,4.4,1,95.68
2025-04-21,Team C,Mary,74,95.62,288,4.35,3,97.4
2025-08-21,Team B,Ryan,60,96.61,277,4.5,3,94.7
2025-06-09,Team B,Olivia,87,88.31,309,4.07,1,93.97
2025-02-28,Team C,Lisa,84,87.69,285,4.28,1,94.36
2025-08-29,Team B,Grace,101,95.87,268,4.14,0,98.25
2025-03-06,Team C,Aaron,101,93.57,362,4.45,4,97.48
2025-08-05,Team D,Rachel,86,91.76,289,4.35,1,96.4
2025-10-08,Team B,Kevin,88,92.15,298,4.44,3,93.12
2025-08-15,Team D,Kevin,81,96.71,303,4.28,3,96.97
2025-04-19,Team C,Ryan,83,91.7,326,4.3,2,96.23
2025-02-18,Team B,Rachel,80,90.22,325,4.08,4,97.58
2025-04-21,Team B,Michael,81,94.33,350,4.51,0,98.82
2025-04-29,Team D,Amy,76,93.36,397,4.33,1,96.38
2025-06-02,Team A,Jason,66,88.6,328,4.42,1,96.35
2025-08-05,Team D,Lisa,88,91.58,300,4.49,3,97.13
2025-08-06,Team D,Lisa,85,93.69,256,4.22,1,98.56
2025-10-28,Team C,Daniel,93,93.06,338,4.74,3,97.04
2025-06-08,Team A,Olivia,68,92.53,321,4.58,1,94.94
2025-10-21,Team B,Grace,88,89.08,329,5,4,92.89
2025-11-27,Team A,Grace,78,94.77,240,4.54,2,96.33
2025-09-17,Team D,Aaron,85,90.53,385,4.15,5,99.17
2025-04-04,Team A,Daniel,70,94.42,394,4.51,1,93.5
2025-09-09,Team D,Mary,94,97.16,323,4.15,2,94.36
2025-08-16,Team A,Mary,75,96.96,390,4.22,5,92.06
2025-11-20,Team A,Grace,98,94.46,352,4.53,1,94.27
2025-09-13,Team C,Aaron,57,90.72,310,4.45,3,97.32
2025-03-25,Team C,Grace,93,94.23,253,4.23,2,93.95
2025-11-20,Team B,Chris,83,96.1,287,4.76,3,96.74
2025-12-17,Team B,Kevin,82,90.97,321,4.07,1,93.83
2025-10-30,Team D,Sophia,95,89.55,353,4.54,1,98.39
2025-07-25,Team A,Amy,70,97.38,233,4.22,2,96.46
2025-09-12,Team B,Kevin,96,88.81,207,4.31,2,98.91
2025-07-10,Team A,Aaron,89,94.82,310,4.56,5,97.78
2025-03-22,Team B,Kevin,76,89.7,341,4.63,4,96.91
2025-05-08,Team D,Grace,76,93.77,303,4.72,0,96.73
2025-08-04,Team C,Aaron,89,98.53,203,4.8,2,96.37
2025-04-05,Team D,Sophia,88,95.08,300,4.72,2,97.23
2025-09-29,Team C,Aaron,64,95.05,300,4.27,0,93.55
2025-05-20,Team A,Emma,78,96.65,276,4.19,2,95.7
2025-01-19,Team B,David,87,92.88,355,4.66,0,97.34
2025-09-05,Team D,Grace,94,92.92,306,4.52,1,96.08
2025-08-07,Team A,Sophia,87,90.9,405,4.44,3,93.63
2025-08-18,Team D,Kevin,90,93.59,279,4.85,1,98.5
2025-11-19,Team B,Chris,60,99.41,362,4.93,1,95.73
2025-11-05,Team C,Aaron,69,92.36,333,4.9,2,97.45
2025-03-09,Team C,Michael,95,93.2,356,4.13,2,95.95
2025-10-10,Team B,Grace,116,93.68,301,4.36,1,97.65
2025-03-14,Team C,Aaron,111,97.14,255,4.61,1,96.59
2025-02-16,Team D,John,81,90.9,276,4.91,2,95.4
2025-10-31,Team C,Rachel,80,95.68,228,4.38,3,95.21
2025-04-17,Team A,Jason,107,90.64,250,4.49,3,97.44
2025-07-07,Team B,Lisa,114,90.7,292,4.66,1,96.05
2025-03-02,Team C,Sarah,56,90.96,274,4.62,0,95.68
2025-05-13,Team A,Rachel,97,94.64,387,4.33,0,95.79
2025-08-22,Team C,Nicole,96,93.33,326,4.58,3,94.87
2025-12-02,Team A,Michael,81,90.45,328,5,2,96.35
2025-11-09,Team C,Kevin,87,94.42,273,4.57,1,94.16
2025-09-04,Team D,Mary,106,93.48,338,3.85,2,98.24
2025-06-11,Team A,Rachel,112,88.75,349,4.36,1,94.81
2025-06-01,Team D,Daniel,53,97.24,387,3.7,2,90.73
2025-09-03,Team A,Mary,85,92.87,416,4.37,2,97.45
2025-10-09,Team A,Alex,85,88.65,305,4.38,1,100
2025-04-27,Team C,Amy,68,96.73,326,4.51,2,96.68
2025-07-25,Team A,Aaron,79,96.65,303,4.4,2,94.21
2025-05-16,Team B,Emma,74,95.55,207,4.22,2,96.42
2025-08-09,Team C,Rachel,68,90.93,257,3.96,0,94.79
2025-11-27,Team B,Daniel,51,92.45,352,4.49,2,96.61
2025-07-26,Team D,Sarah,91,97.37,355,4.64,2,98.15
2025-01-29,Team C,Jason,107,89.31,385,4.07,2,95.3
2025-12-12,Team D,Rachel,112,96.33,315,4.03,2,93.82
2025-04-04,Team B,Sophia,73,95.83,363,5,0,98.84
2025-12-12,Team C,Grace,83,94.63,401,5,2,98.59
2025-04-20,Team A,Sarah,86,94.84,346,4.5,3,95.94
2025-09-14,Team A,Emma,99,92.39,342,4.73,3,99.45
2025-04-14,Team A,Emma,86,93.7,300,4.58,6,97.79
2025-12-13,Team C,Chris,68,89.52,305,4.73,0,95.53
2025-03-27,Team B,Olivia,77,93.72,344,4.17,1,95.2
2025-01-03,Team D,David,88,96.14,327,4.41,3,97
2025-05-19,Team B,Mary,64,94.1,214,4.59,1,97.77
2025-07-08,Team B,Grace,77,93.46,328,4.42,0,99.22
2025-11-23,Team D,John,90,94.69,276,5,2,94.94
2025-04-22,Team A,Daniel,55,86.85,349,4.48,6,95.16
2025-10-26,Team B,Nicole,88,92.78,297,4.46,3,94.48
2025-02-14,Team C,Chris,69,97.48,332,4.46,0,94.79
2025-08-27,Team C,Lisa,75,91.94,276,3.8,3,93.5
2025-04-08,Team B,Jason,75,90.89,233,4.33,0,95.49
2025-10-20,Team B,Lisa,81,91.77,295,4.02,0,97.17
2025-05-18,Team C,Michael,64,89.99,329,4.49,0,97.7
2025-07-09,Team A,Emma,107,90.88,370,4.43,3,95.8
2025-06-30,Team D,Mary,111,92.04,411,4.64,3,95.44
2025-08-07,Team A,Grace,97,99.32,300,4.95,1,97.17
2025-02-17,Team B,Amy,77,87.11,295,4.5,2,99.81
2025-12-12,Team B,Sarah,109,90.37,368,4.47,3,95.56
2025-07-19,Team C,Lisa,103,91.31,304,4.62,4,96.27
2025-03-25,Team C,Sarah,59,94.6,381,4.21,2,96.92
2025-02-27,Team D,Grace,95,93.54,341,4.81,0,97.48
2025-01-02,Team B,Grace,99,98.66,325,4.35,4,97.21
2025-12-03,Team D,Aaron,96,93.65,345,5,0,96.11
2025-11-04,Team A,Chris,77,88.34,304,4.47,1,94.21
2025-11-17,Team C,Lisa,113,95.59,333,3.97,4,95.14
2025-07-19,Team A,Michael,108,90.89,259,4.55,2,96.39
2025-01-28,Team B,Emma,71,95.87,363,4.84,2,95.78
2025-07-29,Team D,Lisa,73,93.99,321,4.38,1,97.4
2025-07-03,Team D,Olivia,97,92.68,254,4.66,1,95.61
2025-04-15,Team A,Sophia,107,87.88,242,4.32,2,97.19
2025-06-07,Team C,Nicole,88,98.14,316,3.84,2,97.82
2025-04-22,Team D,Chris,86,93.13,307,4.97,3,96.44
2025-07-22,Team A,David,74,92.25,248,4.53,5,96.59
2025-08-08,Team B,Kevin,90,91.28,299,3.95,2,96.25
2025-07-01,Team B,Chris,83,96.98,255,3.98,2,95.86
2025-03-19,Team A,Emma,72,89.13,333,4.47,3,93.84
2025-03-01,Team B,David,87,94.35,294,4.41,2,96.32
2025-09-30,Team A,Olivia,85,91.68,347,4.42,1,92.78
2025-12-03,Team C,Aaron,96,89.73,288,3.84,5,94.19
2025-11-20,Team D,Amy,74,89.4,305,4.45,1,98.04
2025-06-20,Team C,Kevin,98,91.51,317,4.21,1,95
2025-08-18,Team B,Grace,81,90.8,410,4.63,1,97.11
2025-05-02,Team A,Olivia,88,91.88,180,4.41,2,95.71
2025-11-19,Team B,Daniel,88,96.01,374,4.06,3,94.52
2025-07-12,Team D,Amy,72,99.55,311,3.99,1,95.61
2025-09-13,Team C,Mary,99,92.1,259,4.52,0,96.5
2025-11-10,Team B,Kevin,76,92.33,351,4.25,2,94.05
2025-05-01,Team B,Grace,70,87.27,385,4.42,0,95.18
2025-12-30,Team C,Chris,97,89.85,367,3.81,0,96.12
2025-03-20,Team C,Lisa,74,92.27,359,4.21,3,96.14
2025-10-19,Team A,Lisa,55,91.17,353,4.17,0,90.19
2025-07-14,Team C,Sarah,79,94.51,412,4.2,3,94.73
2025-11-15,Team D,Mary,110,90.4,398,4.14,1,97.05
2025-11-25,Team C,Aaron,80,88.6,294,4.69,3,97.03
2025-05-06,Team C,David,88,84.14,382,4.19,4,100
2025-09-30,Team D,Amy,70,92.64,321,3.9,0,94.94
2025-12-07,Team D,Jason,94,90.83,349,4.28,0,97.8
2025-01-12,Team C,Rachel,91,95.05,317,4.75,2,93.46
2025-08-25,Team B,Nicole,75,94.03,240,4.91,0,96.16
2025-08-14,Team D,Nicole,80,97.59,315,4.76,3,97.84
2025-01-15,Team D,David,109,98.85,281,4.4,0,92.66
2025-05-08,Team B,Sophia,100,93.4,313,3.92,3,97.75
2025-12-31,Team C,Amy,94,89.59,380,4.92,0,94.19
2025-03-28,Team B,Jason,102,93.61,307,4.38,3,97.59
2025-09-13,Team C,Olivia,71,97.07,378,4.44,3,91.7
2025-11-21,Team D,Lisa,98,92.15,289,4.39,5,96.55
2025-04-21,Team A,Michael,102,92.9,402,4.64,3,92.84
2025-06-16,Team D,Aaron,92,98.28,319,4.05,0,96.9
2025-03-27,Team D,Nicole,106,92.88,283,4.18,2,93.89
2025-05-17,Team D,Aaron,70,90.75,317,4.38,2,95.67
2025-08-18,Team A,Rachel,68,93.41,370,4.62,3,94.97
2025-04-26,Team B,Sarah,98,97.28,291,3.72,2,93.64
2025-01-28,Team C,Chris,101,91.44,279,4.38,1,94.04
2025-08-26,Team B,Nicole,84,90.22,308,4.34,2,97.92
2025-09-01,Team B,Emma,50,89.42,287,4.52,1,96.36
2025-11-02,Team B,Nicole,59,90.48,294,4.34,2,96.15
2025-03-12,Team B,Grace,88,96.08,375,4.23,1,97.72
2025-05-26,Team D,Amy,87,96.19,328,4.81,2,92.91
2025-05-12,Team B,Daniel,64,89.97,349,4.09,2,99.08
2025-06-01,Team B,Aaron,61,100,346,4.46,3,96.95
2025-09-03,Team A,Sophia,76,95.53,311,4.08,2,97.68
2025-08-24,Team B,David,88,92.21,251,4.21,1,94.37
2025-06-21,Team C,Emma,48,88.47,314,4.44,1,95.18
2025-05-30,Team D,David,84,97.2,347,3.94,1,96.26
2025-05-03,Team C,Alex,77,91.36,293,4.36,2,98.18
2025-12-06,Team C,Sarah,79,96.17,457,4.25,5,95.36
2025-09-23,Team C,Amy,77,95.46,238,4.44,4,97.96
2025-05-26,Team C,Aaron,53,96.44,283,4.93,1,93.99
2025-09-06,Team B,Amy,86,94.52,274,4.74,1,97.24
2025-10-28,Team B,Chris,100,90.31,254,4.55,2,95.3
2025-02-20,Team C,Aaron,103,90.37,405,3.88,3,94.41
2025-06-17,Team D,Emma,91,94.51,195,4.11,0,99.26
2025-08-24,Team C,Lisa,81,90,252,4.1,4,97.49
2025-04-13,Team C,Ryan,66,91.39,355,4.22,3,95.93
2025-01-21,Team B,Lisa,81,100,300,4.22,2,92.32
2025-02-07,Team B,Ryan,84,90.96,304,4.46,0,93.93
2025-01-19,Team B,Michael,71,92.01,357,4.01,2,92.58
2025-08-09,Team C,Aaron,97,88.4,361,4.15,1,93.66
2025-12-26,Team C,Grace,92,87.5,242,4.96,1,93.02
2025-03-29,Team D,Kevin,86,88.23,394,4.28,1,97.57
2025-05-23,Team C,Nicole,99,96.78,328,4.44,1,94.33
2025-04-15,Team D,Alex,95,92.17,342,4.26,3,95.27
2025-03-14,Team D,Jason,72,87.92,347,4.46,3,95.81
2025-07-28,Team A,Mary,91,92.78,344,4.82,1,97.62
2025-03-16,Team B,Nicole,72,95.29,242,4.21,3,96.84
2025-07-02,Team B,Michael,89,96.71,388,4.32,1,96.93
2025-03-21,Team D,Aaron,79,95.15,291,4.53,4,96.32
2025-04-25,Team B,Mary,118,92.96,313,4.47,3,94.86
2025-08-02,Team C,Jason,91,90.83,362,4.75,2,96.15
2025-08-07,Team D,Emma,82,94.62,368,4.03,2,99.39
2025-02-17,Team D,Alex,76,93.94,343,4.68,4,97.87
2025-12-01,Team C,Emma,81,95.73,301,4.63,2,93.92
2025-12-18,Team A,Nicole,91,93.12,248,4.01,2,96.03
